"TimestampUtc","EpochSeconds","CpuSeconds","RssBytes","Goroutines","DroppedChunks","IngestChunks"
"2026-08-09T15:21:15.5078963+00:00","1786288875.535","5.546875","38424576","63",,"12"
"2026-08-09T15:21:18.8490222+00:00","1786288878.854","5.921875","39657472","349",,"18"
"2026-08-09T15:21:21.2775557+00:00","1786288881.277","6.359375","48271360","660",,"24"
"2026-08-09T15:21:23.6564334+00:00","1786288883.656","6.71875","56557568","898",,"29"
"2026-08-09T15:21:26.0141702+00:00","1786288886.014","7.140625","58335232","1022",,"33"
"2026-08-09T15:21:28.4020095+00:00","1786288888.402","7.46875","60522496","1022",,"38"
"2026-08-09T15:21:31.0764234+00:00","1786288891.076","7.90625","62910464","1022",,"43"
"2026-08-09T15:21:33.4811710+00:00","1786288893.481","8.1875","65572864","1022",,"48"
"2026-08-09T15:21:36.2663122+00:00","1786288896.266","8.46875","68317184","1022",,"53"
"2026-08-09T15:21:38.6830491+00:00","1786288898.683","8.796875","69255168","1022",,"58"
"2026-08-09T15:21:41.0871773+00:00","1786288901.087","9.140625","69312512","1022",,"63"
"2026-08-09T15:21:43.4912886+00:00","1786288903.491","9.3125","70987776","1022",,"68"
"2026-08-09T15:21:45.8515674+00:00","1786288905.851","9.65625","73932800","1022",,"73"
"2026-08-09T15:21:48.2470325+00:00","1786288908.247","9.859375","76460032","1022",,"77"
"2026-08-09T15:21:53.4571350+00:00","1786288913.457","10.28125","77877248","1019",,"82"
"2026-08-09T15:21:55.8675096+00:00","1786288915.867","10.9375","77918208","1019",,"92"
"2026-08-09T15:22:00.6251476+00:00","1786288920.625","11.203125","76881920","1019",,"97"
"2026-08-09T15:22:02.9958681+00:00","1786288922.995","11.890625","77905920","1019",,"107"
"2026-08-09T15:22:05.2848884+00:00","1786288925.284","12.140625","72949760","1019",,"111"
"2026-08-09T15:22:07.4592876+00:00","1786288927.459","12.484375","72957952","1019",,"116"
"2026-08-09T15:22:09.6571078+00:00","1786288929.657","12.6875","72966144","1017",,"119"
"2026-08-09T15:22:12.0512878+00:00","1786288932.051","12.71875","72966144","1017",,"119"
"2026-08-09T15:22:14.2886387+00:00","1786288934.288","12.71875","72978432","1017",,"119"
"2026-08-09T15:22:16.5574114+00:00","1786288936.557","12.71875","72978432","1018",,"119"
"2026-08-09T15:22:18.7771937+00:00","1786288938.777","12.734375","72978432","1017",,"119"
"2026-08-09T15:22:21.1718287+00:00","1786288941.172","12.75","72978432","1018",,"119"
"2026-08-09T15:22:23.3714532+00:00","1786288943.371","12.75","72978432","1017",,"119"
"2026-08-09T15:22:25.5679693+00:00","1786288945.567","12.75","72978432","1017",,"119"
"2026-08-09T15:22:27.7507234+00:00","1786288947.75","12.75","72978432","1017",,"119"
"2026-08-09T15:22:29.9186053+00:00","1786288949.918","12.75","72986624","1017",,"119"
"2026-08-09T15:22:32.1088895+00:00","1786288952.108","12.75","72986624","1017",,"119"
"2026-08-09T15:22:34.3011415+00:00","1786288954.301","12.75","72986624","1017",,"119"
"2026-08-09T15:22:36.4786571+00:00","1786288956.478","12.765625","72994816","1018",,"119"
"2026-08-09T15:22:38.6460114+00:00","1786288958.646","12.78125","72994816","1017",,"119"
"2026-08-09T15:23:16.0923289+00:00","1786288996.092","12.859375","71225344","17",,"119"
