"TimestampUtc","EpochSeconds","CpuSeconds","RssBytes","Goroutines","DroppedChunks","IngestChunks"
"2026-08-09T15:18:27.0804931+00:00","1786288707.123","2.40625","33431552","34",,"12"
"2026-08-09T15:18:30.5285284+00:00","1786288710.531","2.515625","33845248","87",,"17"
"2026-08-09T15:18:33.1778349+00:00","1786288713.177","2.6875","35577856","152",,"23"
"2026-08-09T15:18:35.6242706+00:00","1786288715.624","2.828125","37580800","206",,"29"
"2026-08-09T15:18:38.0552597+00:00","1786288718.055","2.953125","39530496","222",,"33"
"2026-08-09T15:18:40.4479350+00:00","1786288720.447","3.046875","40300544","222",,"38"
"2026-08-09T15:18:42.9603376+00:00","1786288722.961","3.171875","42147840","222",,"43"
"2026-08-09T15:18:45.6771758+00:00","1786288725.677","3.21875","43347968","222",,"48"
"2026-08-09T15:18:48.1279282+00:00","1786288728.127","3.34375","43372544","223",,"54"
"2026-08-09T15:18:50.6376459+00:00","1786288730.637","3.46875","44511232","222",,"58"
"2026-08-09T15:18:53.0234570+00:00","1786288733.023","3.546875","44519424","222",,"63"
"2026-08-09T15:18:55.7762358+00:00","1786288735.776","3.734375","44658688","223",,"68"
"2026-08-09T15:18:58.3262039+00:00","1786288738.326","3.84375","44675072","222",,"73"
"2026-08-09T15:19:01.0767941+00:00","1786288741.076","3.9375","44822528","222",,"79"
"2026-08-09T15:19:08.3095335+00:00","1786288748.309","4.046875","43274240","220",,"84"
"2026-08-09T15:19:12.0308326+00:00","1786288752.03","4.421875","43962368","219",,"97"
"2026-08-09T15:19:14.3384470+00:00","1786288754.338","4.65625","44220416","219",,"105"
"2026-08-09T15:19:16.8551117+00:00","1786288756.855","4.703125","44691456","219",,"109"
"2026-08-09T15:19:19.2198750+00:00","1786288759.219","4.84375","43225088","219",,"114"
"2026-08-09T15:19:21.5544450+00:00","1786288761.554","4.90625","43274240","217",,"118"
"2026-08-09T15:19:23.8927995+00:00","1786288763.892","4.921875","43274240","217",,"118"
"2026-08-09T15:19:26.1725689+00:00","1786288766.172","4.9375","43278336","218",,"118"
"2026-08-09T15:19:28.5031409+00:00","1786288768.503","4.96875","43278336","217",,"118"
"2026-08-09T15:19:30.8497481+00:00","1786288770.849","5","43278336","218",,"118"
"2026-08-09T15:19:33.2158531+00:00","1786288773.215","5","43278336","217",,"118"
"2026-08-09T15:19:35.6256312+00:00","1786288775.625","5","43282432","217",,"118"
"2026-08-09T15:19:37.9779068+00:00","1786288777.977","5","43282432","217",,"118"
"2026-08-09T15:19:40.3408327+00:00","1786288780.34","5","43290624","217",,"118"
"2026-08-09T15:19:42.7494385+00:00","1786288782.749","5","43290624","217",,"118"
"2026-08-09T15:19:45.5031010+00:00","1786288785.503","5.046875","43290624","217",,"118"
"2026-08-09T15:19:47.9908049+00:00","1786288787.99","5.0625","43294720","215",,"118"
"2026-08-09T15:19:50.3923790+00:00","1786288790.392","5.125","43376640","217",,"118"
"2026-08-09T15:20:28.9093710+00:00","1786288828.909","5.234375","43728896","17",,"118"
